Symbol,Name,Category,Source,Interval,ReportView,StrategyKind,StrategyName,Status,ValidationNetReturnPct,ValidationMaxDrawdownPct,Note,Error,ReportPath,GeneratedAt
513050.SS,中概互联网ETF,国内ETF,用户指定追加标的,15m,grid,grid,网格,ok,0.0,0.0,间距 4.00% / 层数 7 / 止盈 3.00%,,513050_ss/minute/513050_ss_15m_grid_report.md,legacy
0020.HK,SENSETIME - W,恒生科技成分股,恒生科技指数官方 factsheet，2026-04，数据截至 2026-04-30,15m,grid,grid,网格,ok,-0.17,1.01,间距 4.00% / 层数 4 / 止盈 1.00%,,0020_hk/minute/0020_hk_15m_grid_report.md,legacy
0241.HK,ALI HEALTH,恒生科技成分股,恒生科技指数官方 factsheet，2026-04，数据截至 2026-04-30,15m,grid,grid,网格,ok,-1.68,2.03,间距 4.00% / 层数 7 / 止盈 1.00%,,0241_hk/minute/0241_hk_15m_grid_report.md,legacy
0268.HK,KINGDEE INT'L,恒生科技成分股,恒生科技指数官方 factsheet，2026-04，数据截至 2026-04-30,15m,grid,grid,网格,ok,-0.82,1.45,间距 4.00% / 层数 7 / 止盈 3.00%,,0268_hk/minute/0268_hk_15m_grid_report.md,legacy
0285.HK,BYD ELECTRONIC,恒生科技成分股,恒生科技指数官方 factsheet，2026-04，数据截至 2026-04-30,15m,grid,grid,网格,ok,0.0,0.0,间距 4.00% / 层数 7 / 止盈 1.00%,,0285_hk/minute/0285_hk_15m_grid_report.md,legacy
0300.HK,MIDEA GROUP,恒生科技成分股,恒生科技指数官方 factsheet，2026-04，数据截至 2026-04-30,15m,grid,grid,网格,ok,0.43,0.46,间距 4.00% / 层数 6 / 止盈 3.00%,,0300_hk/minute/0300_hk_15m_grid_report.md,legacy
0700.HK,TENCENT,恒生科技成分股,恒生科技指数官方 factsheet，2026-04，数据截至 2026-04-30,15m,grid,grid,网格,failed,,,"单层网格预算不足以买入 1 手，无法执行固定股数网格: lot_size=100, price=534.50","单层网格预算不足以买入 1 手，无法执行固定股数网格: lot_size=100, price=534.50",0700_hk/minute/0700_hk_15m_grid_report.md,legacy
0780.HK,TONGCHENGTRAVEL,恒生科技成分股,恒生科技指数官方 factsheet，2026-04，数据截至 2026-04-30,15m,grid,grid,网格,ok,-1.16,1.59,间距 4.00% / 层数 6 / 止盈 2.00%,,0780_hk/minute/0780_hk_15m_grid_report.md,legacy
0981.HK,SMIC,恒生科技成分股,恒生科技指数官方 factsheet，2026-04，数据截至 2026-04-30,15m,grid,grid,网格,failed,,,"单层网格预算不足以买入 1 手，无法执行固定股数网格: lot_size=500, price=71.10","单层网格预算不足以买入 1 手，无法执行固定股数网格: lot_size=500, price=71.10",0981_hk/minute/0981_hk_15m_grid_report.md,legacy
0992.HK,LENOVO GROUP,恒生科技成分股,恒生科技指数官方 factsheet，2026-04，数据截至 2026-04-30,15m,grid,grid,网格,ok,2.47,0.87,间距 1.00% / 层数 4 / 止盈 3.00%,,0992_hk/minute/0992_hk_15m_grid_report.md,legacy
